departamento,municipio,DANE_code,weapon,date,gender,age_group,quantity
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADOLESCENTES,2
ANTIOQUIA,ANDES,5034000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
ANTIOQUIA,ANORI,5040000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,FEMENINO,ADULTOS,1
ANTIOQUIA,ANORI,5040000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,2
ANTIOQUIA,VEGACHI,5858000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
ATLANTICO,CANDELARIA,8141000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
ATLANTICO,SOLEDAD,8758000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
BOLIVAR,CARTAGENA (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADOLESCENTES,1
BOLIVAR,CARTAGENA (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,2
BOYACA,SOGAMOSO,15759000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
CALDAS,MANIZALES (CT),17001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
CASANARE,SAN LUIS DE PALENQUE,85325000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
CAUCA,PAEZ,19517000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
CAUCA,POPAYAN (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,2
CHOCO,EL CARMEN DE ATRATO,27245000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
CORDOBA,MONTERIA (CT),23001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
CORDOBA,SAHAGUN,23660000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTA D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,FEMENINO,ADULTOS,1
CUNDINAMARCA,BOGOTA D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADOLESCENTES,2
CUNDINAMARCA,BOGOTA D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,7
HUILA,ISNOS,41359000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
MAGDALENA,SANTA MARTA (CT),47001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
NARINO,PASTO (CT),52001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,3
NORTE DE SANTANDER,PAMPLONA,54518000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
SANTANDER,BUCARAMANGA (CT),68001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
SANTANDER,FLORIDABLANCA,68276000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
SANTANDER,PIEDECUESTA,68547000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
SUCRE,SANTIAGO DE TOLU,70820000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
SUCRE,SINCELEJO (CT),70001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
VALLE,BUENAVENTURA,76109000,ARMA BLANCA / CORTOPUNZANTE,1/01/2018,MASCULINO,ADULTOS,1
