departamento,municipio,DANE_code,weapon,date,gender,age_group,quantity
AMAZONAS,Leticia (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,08/05/2022,MASCULINO,ADULTOS,1
AMAZONAS,Leticia (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,30/12/2022,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,Abejorral,05002000,ARMA BLANCA / CORTOPUNZANTE,31/07/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Amalfi,05031000,ARMA BLANCA / CORTOPUNZANTE,16/07/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Amalfi,05031000,ARMA BLANCA / CORTOPUNZANTE,18/10/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Andes,05034000,ARMA BLANCA / CORTOPUNZANTE,13/02/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Andes,05034000,ARMA BLANCA / CORTOPUNZANTE,15/04/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Andes,05034000,ARMA BLANCA / CORTOPUNZANTE,14/05/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Andes,05034000,ARMA BLANCA / CORTOPUNZANTE,04/06/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Andes,05034000,ARMA BLANCA / CORTOPUNZANTE,25/06/2022,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,Andes,05034000,ARMA BLANCA / CORTOPUNZANTE,25/07/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Andes,05034000,ARMA BLANCA / CORTOPUNZANTE,09/10/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Andes,05034000,ARMA BLANCA / CORTOPUNZANTE,04/11/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Andes,05034007,ARMA BLANCA / CORTOPUNZANTE,15/11/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Andes,05034000,ARMA BLANCA / CORTOPUNZANTE,22/12/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,AngelOpolis,05036002,ARMA BLANCA / CORTOPUNZANTE,07/11/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Angostura,05038000,ARMA BLANCA / CORTOPUNZANTE,22/05/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Angostura,05038000,ARMA BLANCA / CORTOPUNZANTE,26/12/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,AnorI,05040000,ARMA BLANCA / CORTOPUNZANTE,07/03/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,AnorI,05040000,ARMA BLANCA / CORTOPUNZANTE,22/05/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,AnorI,05040000,ARMA BLANCA / CORTOPUNZANTE,29/09/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,Anza,05044000,ARMA BLANCA / CORTOPUNZANTE,09/11/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,ApartadO,05045000,ARMA BLANCA / CORTOPUNZANTE,28/01/2022,MASCULINO,ADULTOS,2
ANTIOQUIA,ApartadO,05045000,ARMA BLANCA / CORTOPUNZANTE,16/02/2022,MASCULINO,ADULTOS,1
ANTIOQUIA,ApartadO,05045000,ARMA BLANCA / CORTOPUNZANTE,21/03/2022,MASCULINO,ADULTOS,2
ANTIOQUIA,ApartadO,05045000,ARMA BLANCA / CORTOPUNZANTE,31/03/2022,MASCULINO,ADULTOS,1
