departamento,municipio,DANE_code,weapon,date,gender,age_group,quantity
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,14/03/2020,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,20/10/2020,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,31/12/2020,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,ABEJORRAL,05002000,ARMA BLANCA / CORTOPUNZANTE,5/07/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ABEJORRAL,05002000,ARMA BLANCA / CORTOPUNZANTE,2/08/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGA,05030000,ARMA BLANCA / CORTOPUNZANTE,9/02/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGA,05030000,ARMA BLANCA / CORTOPUNZANTE,14/05/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGA,05030000,ARMA BLANCA / CORTOPUNZANTE,22/11/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,17/01/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,12/03/2020,MASCULINO,ADOLESCENTES,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,8/05/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,4/06/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,1/08/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,19/11/2020,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,11/12/2020,FEMENINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,31/12/2020,MASCULINO,ADULTOS,1
