departamento,municipio,DANE_code,weapon,date,gender,age_group,quantity
ANTIOQUIA,BETULIA,5093000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,BURITICA,5113000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
ATLANTICO,SOLEDAD,8758000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
BOLIVAR,CARTAGENA (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,3
BOYACA,SOGAMOSO,15759000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
CALDAS,MANIZALES (CT),17001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
CAQUETA,SOLITA,18785000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
CASANARE,HATO COROZAL,85125000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
CAUCA,POPAYAN (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,3
CORDOBA,SAHAGUN,23660000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,FEMENINO,ADULTOS,1
CUNDINAMARCA,BOGOTA D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,3
CUNDINAMARCA,SOACHA,25754000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,4
HUILA,SUAZA,41770000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,2
MAGDALENA,CIENAGA,47189000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
META,PUERTO GAITAN,50568000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
META,VILLAVICENCIO (CT),50001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
NARINO,EL TABLON DE GOMEZ,52258000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
NARINO,IPIALES,52356000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
NARINO,PASTO (CT),52001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,ABREGO,54003000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,FEMENINO,ADULTOS,1
NORTE DE SANTANDER,EL CARMEN,54245000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
QUINDIO,CALARCA,63130000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,FEMENINO,ADULTOS,1
RISARALDA,DOSQUEBRADAS,66170000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
RISARALDA,PEREIRA (CT),66001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
SANTANDER,BUCARAMANGA (CT),68001000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
SANTANDER,EL PLAYON,68255000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
SANTANDER,GIRON,68307000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
VALLE,JAMUNDI,76364000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
VALLE,PRADERA,76563000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
VALLE,TORO,76823000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
VALLE,VERSALLES,76863000,ARMA BLANCA / CORTOPUNZANTE,1/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,5034000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,EL BAGRE,5250000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,LA ESTRELLA,5380000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,1/01/2013,FEMENINO,MENORES,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,4
ANTIOQUIA,VALDIVIA,5854000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,VENECIA,5861000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,YARUMAL,5887000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
ATLANTICO,BARRANQUILLA (CT),8001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,2
CALDAS,MANIZALES (CT),17001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
CAUCA,JAMBALO,19364000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
CAUCA,MERCADERES,19450000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
CAUCA,POPAYAN (CT),19001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
CAUCA,SUCRE,19785000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
CESAR,VALLEDUPAR (CT),20001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
CHOCO,SAN JOSE DEL PALMAR,27660000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,6
CUNDINAMARCA,SOACHA,25754000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,2
GUAJIRA,MAICAO,44430000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
HUILA,NEIVA (CT),41001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
HUILA,SAN AGUSTIN,41668000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
HUILA,TARQUI,41791000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
MAGDALENA,SANTA MARTA (CT),47001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
META,VILLAVICENCIO (CT),50001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
NARINO,PASTO (CT),52001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,2
NORTE DE SANTANDER,CUCUTA (CT),54001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
PUTUMAYO,PUERTO ASIS,86568000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
PUTUMAYO,PUERTO GUZMAN,86571000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
RISARALDA,PEREIRA (CT),66001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
SANTANDER,BUCARAMANGA (CT),68001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
TOLIMA,ESPINAL,73268000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADOLESCENTES,1
VALLE,BUENAVENTURA,76109000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,2
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/01/2013,FEMENINO,ADULTOS,2
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADOLESCENTES,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,14
VALLE,CANDELARIA,76130000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
VALLE,JAMUNDI,76364000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
VALLE,PALMIRA,76520000,ARMA DE FUEGO,1/01/2013,FEMENINO,ADULTOS,1
VALLE,PALMIRA,76520000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,2
VALLE,ROLDANILLO,76622000,ARMA DE FUEGO,1/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLIN (CT),5001000,BOLSA PLASTICA,1/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,EL BAGRE,5250000,GRANADA DE MANO,1/01/2013,MASCULINO,ADULTOS,1
ATLANTICO,PUERTO COLOMBIA,8573000,ARMA BLANCA / CORTOPUNZANTE,2/01/2013,MASCULINO,ADULTOS,1
CAQUETA,FLORENCIA (CT),18001000,ARMA BLANCA / CORTOPUNZANTE,2/01/2013,MASCULINO,ADULTOS,1
VALLE,CALI (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,2/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,BELLO,5088000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,EBEJICO,5240000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,3
ANTIOQUIA,SEGOVIA,5736000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,YALI,5885000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
BOLIVAR,NOROSI,13490000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
BOLIVAR,TURBACO,13836000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
CALDAS,CHINCHINA,17174000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,2
CAUCA,MORALES,19473000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
CHOCO,TADO,27787000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
CUNDINAMARCA,BOGOTA D.C. (CT),11001000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
NARINO,LA CRUZ,52378000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
NORTE DE SANTANDER,CUCUTA (CT),54001000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADOLESCENTES,1
NORTE DE SANTANDER,OCANA,54498000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADOLESCENTES,1
PUTUMAYO,VALLE DEL GUAMUEZ,86865000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
QUINDIO,ARMENIA (CT),63001000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
SANTANDER,BARRANCABERMEJA,68081000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,1
VALLE,BUENAVENTURA,76109000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADOLESCENTES,1
VALLE,CALI (CT),76001000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,2
VALLE,TULUA,76834000,ARMA DE FUEGO,2/01/2013,MASCULINO,ADULTOS,2
ANTIOQUIA,ANORI,5040000,CONTUNDENTES,2/01/2013,FEMENINO,ADULTOS,1
CAUCA,EL TAMBO,19256000,CONTUNDENTES,2/01/2013,FEMENINO,MENORES,1
CESAR,AGUSTIN CODAZZI,20013000,CONTUNDENTES,2/01/2013,FEMENINO,MENORES,1
CORDOBA,VALENCIA,23855000,CONTUNDENTES,2/01/2013,FEMENINO,MENORES,1
CALDAS,SALAMINA,17653000,ALMOHADA,3/01/2013,FEMENINO,ADULTOS,1
ANTIOQUIA,BETULIA,5093000,ARMA BLANCA / CORTOPUNZANTE,3/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,LA CEJA,5376000,ARMA BLANCA / CORTOPUNZANTE,3/01/2013,MASCULINO,ADULTOS,1
CAUCA,BUENOS AIRES,19110000,ARMA BLANCA / CORTOPUNZANTE,3/01/2013,FEMENINO,ADULTOS,1
CAUCA,BUENOS AIRES,19110000,ARMA BLANCA / CORTOPUNZANTE,3/01/2013,MASCULINO,ADULTOS,1
CHOCO,ATRATO,27050000,ARMA BLANCA / CORTOPUNZANTE,3/01/2013,MASCULINO,ADOLESCENTES,1
CUNDINAMARCA,SOACHA,25754000,ARMA BLANCA / CORTOPUNZANTE,3/01/2013,MASCULINO,ADULTOS,1
SANTANDER,BUCARAMANGA (CT),68001000,ARMA BLANCA / CORTOPUNZANTE,3/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,BURITICA,5113000,ARMA DE FUEGO,3/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,ITAGUI,5360000,ARMA DE FUEGO,3/01/2013,MASCULINO,ADULTOS,1
ANTIOQUIA,MEDELLIN (CT),5001000,ARMA DE FUEGO,3/01/2013,MASCULINO,ADULTOS,2
ANTIOQUIA,PUERTO BERRIO,5579000,ARMA DE FUEGO,3/01/2013,MASCULINO,ADULTOS,1
